S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
56,Gurans Laghubitta Bittiya Sanstha Limited,48,1570.00,1536.00,1544.80,1895.00,2929143.80,1549.40,-4.60
57,Gurans Life Insurance Company Ltd.,100,590.00,563.50,564.00,12912.00,7342508.10,587.00,-23.00
58,Gurkhas Finance Ltd.,102,877.00,810.00,830.00,14379.00,11907040.10,860.00,-30.00
59,Himal Dolakha Hydropower Company Limited,217,299.00,286.00,289.90,32234.00,9372362.20,304.00,-14.10
60,Himalaya Urja Bikas Company Limited,37,423.00,385.00,404.00,4025.00,1609572.50,415.00,-11.00
61,Himalayan Distillery Limited,460,6868.00,6670.00,6685.00,14344.00,96534056.50,6899.00,-214.00
62,Himalayan General Insurance Co. Ltd,88,650.00,613.00,630.00,18057.00,11332645.40,657.90,-27.90
63,Himalayan Power Partner Ltd.,173,428.40,395.00,400.00,62437.00,24931819.50,428.80,-28.80
64,Hydorelectricity Investment and Development Company Ltd,289,308.00,298.50,300.00,36299.00,10948609.90,306.00,-6.00
65,ICFC Finance Limited,386,670.00,643.00,645.00,44108.00,28735259.90,670.20,-25.20
66,IME General Insurance Ltd.,75,1030.00,985.00,989.00,5464.00,5430059.10,1030.00,-41.00
67,Infinity Laghubitta Bittiya Sanstha Limited,27,1725.00,1654.00,1657.00,826.00,1377621.40,1740.00,-83.00
68,Janaki Finance Ltd.,135,582.20,562.00,569.90,12188.00,6967052.50,594.00,-24.10
69,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,51,3354.00,3280.00,3280.00,1924.00,6345002.00,3420.00,-140.00
70,Jeevan Bikas laghubitta  bittya sanstha ltd,686,4707.30,4350.00,4390.00,14859.00,66180938.00,4615.00,-225.00
71,Joshi Hydropower Development Company Ltd,51,301.00,295.00,296.00,2995.00,891719.00,304.90,-8.90
72,Jyoti Bikas Bank Limited,390,490.00,469.00,469.00,48726.00,23226344.70,491.00,-22.00
73,Jyoti Life Insurance Ltd,189,566.00,553.00,555.50,5338.00,2969988.80,562.00,-6.50
74,Kalika Microcredit Development Bank Ltd.,52,1234.90,1160.00,1198.00,2495.00,2947251.00,1210.70,-12.70
75,Kalika power Company Ltd,78,528.30,494.00,498.00,6675.00,3345697.00,539.00,-41.00
76,Kamana Sewa Bikas Bank Limited,587,690.00,656.60,661.00,72200.00,48073162.50,682.90,-21.90
77,Karnali Development Bank Limited,93,421.40,400.00,413.00,12916.00,5255699.20,430.00,-17.00
78,Khanikhola Hydropower Co. Ltd.,87,315.00,304.00,305.00,13521.00,4160783.80,315.00,-10.00
79,Kisan Lagubitta Bittiya Sanstha Limited,23,1451.00,1369.00,1369.00,820.00,1142198.80,1475.00,-106.00
80,Kumari Bank Limited,607,293.70,280.00,282.00,97721.00,27552901.70,288.00,-6.00
81,Kumari Equity Fund,16,9.50,9.33,9.37,8200.00,77288.00,9.62,-0.25
82,Laxmi Bank Limited,212,333.00,316.00,318.00,36881.00,11785327.20,330.00,-12.00
83,Laxmi Equity Fund,12,10.07,9.90,10.00,1159800.00,11583106.00,10.07,-0.07
84,Laxmi Laghubitta Bittiya Sanstha Ltd.,68,1850.00,1748.10,1752.00,3545.00,6281006.00,1850.00,-98.00
85,Laxmi Unnati Kosh,26,9.86,9.49,9.77,128300.00,1235061.00,9.68,0.09
